Unnamed: 0,product_title,star_rating,review_body
0,Apple iPhone 12 (128GB) - White,5,"This was my first switch to an ios device after using an android untill now. And I am not disappointed. The build quality, the responsive touch, the display, the camera, the battery life are just exceptional.Been using for about 10 days now, and consistently giving around 7h of screen on time.The camera is just way too good. Espeecially the night mode impressed me a lot.Only issue when switching from Android to iPhone I encountered was to be not able to restore my whatsapp chats. There are no official/free ways for doing this.The phone is simple amazing."
1,Apple iPhone 12 (128GB) - White,1,The media could not be loaded.                  Bad experience! I have purchased Iphone from Amazon before as well but this time the activation of new iphone 12 failed when I was setting it up. I tried contacting Apple support but the serial number mentioned on the box was invalid. I really don't know if it is a counterfeit product or there is some technical issue but one thing is sure that Apple's Website is not recognising the IMEI and serial Number of new Iphone 12 I bought from here
2,Apple iPhone 12 (128GB) - White,4,"I am writing this review after 40 days of use of iPhone 12. phone camera is excellent like DSLR ,very fast processor ,face ID feature looks great ,overall everything is fine but only issue which this phone has is , battery draining too fast. You can use 100% battery only for 5-6 hours of continuous use after that you have to charge it. Apple should look into this."
3,Apple iPhone 12 (128GB) - White,5,Same like the old classic iphone 5 lookBut now difference is only6.1 inch display or The A 14 bionic chipAnd oled Hd display
4,Apple iPhone 12 (128GB) - White,1,"Device is wonderful but never buy expensive items from Amazon, its better to purchase from Apple store.Delayed delivery by 3 days and on top of it no one in amazon knows where my device was. I have to perform multiple follow ups to enquire about my device and Amazon CSR is worst when it comes to logging a complaint.The final product received is having a dent and Amazon denied servicing and asked to check with Apple, Apple of-course denied since the product is purchased from third party e-commerce website.Lesson learned after 5 days of total frustration and being played as shuttlecock between Amazon and Apple, its better to spend few bucks more and purchase iPhone from Apple rather than typing this review with a dented device."
5,Apple iPhone 12 (128GB) - White,5,"The media could not be loaded.                  I was litterly worried before getting it delivered, as my delivery was late, I thought they will be some golmal on product, but I got the original product which I was expecting.. pls go n buy, don't get panic by seeing reviews.. I'm very excited with my new phone.. battery life is also good. Face is awesomepart and camera quality at picks... best deal for this independence day 😍🤩"
6,Apple iPhone 12 (128GB) - White,5,"Its my First Apple device. Happy to own it after a long confusion between iPhone 11 and 12. I believe, it was worth waiting for 12.Received it on 04-Nov-2020. Working well till now. Checked Service Support Coverage. Its a genuine product.AndiPhone in white color is legend.Update after 1 month approx.-----------------------------------After using it for a month I am in love with this phone. Too smooth and I forgot what is lagging...Battery backup is very good and lasts one and half day easily with normal usage. I charge my phone when the battery is around 30%. Battery health is 100% after a month.Camera is awesome and gives very nicely detailed pictures with true colors.Phone speakers are really great and warm. They are loud but don't shout. Listening music or watching videos are enjoyable without earphones too.4G speed better than other 4g phones I have.Worth every penny."
7,Apple iPhone 12 (128GB) - White,1,"Bought an iPhone 12 during ongoing freedom sale and I received a defective piece as the phone has tiny dents around the charging port. I tried returning it but there’s no option to replace or return.  Don’t know what to do, stuck with it after spending 62 K."
8,Apple iPhone 12 (128GB) - White,5,"Amazing iPhone, worthy updatehave to buy a type-c supported charging adaptor for charginggood displaydecent battery lifenice night clicksoverall worthy upgrade from classic iPhonebuy apple original 20w adaptor for charging, it fill battery faster than any other adaptor"
9,Apple iPhone 12 (128GB) - White,5,"Upgraded for iPhone XR. Battery lasts almost the same as XR but iPhone adapts as per usage over time so it will take time. Which anyways it lasts me for around 1.5 day with normal use and data services and location services always on. Do check the YouTube video to make necessary changes in settings for battery optimisation. Nothing beats the camera performance and let alone the video performance. Phone factor (rectangular edges) feels good to hold however even the MagSafe back cover when put on ruins the fun. Instead try buying a thin screen guard for back of the phone and tempered glass for the front glass as both front and back of the phone seem to be delicate and a costly affair when planning repairs. Overall the performance is great. The backup for Mini is pathetic, buy only if you have very minimal use of the phone. If a telephoto photography doesn’t seem to be on your agenda then this is a smart choice over the pro model."
10,Apple iPhone 12 (128GB) - White,5,Great battery life. Love the white colour. Blue is super hyped. It is a finger print magnet.There’s something about the design of these phones. No android phone can match the aesthetics. Except some curved display screens.Upgraded from iPhone 8. I am very very happy.Wish it was a bit cheaper. Bought with 6k instant hdfc discount and 6 months no cost emi.128gb.
11,Apple iPhone 12 (128GB) - White,5,The media could not be loaded.                  This is first time I’m switching from android to iOSIt is just amazingBatter life is awesome
12,Apple iPhone 12 (128GB) - White,1,Overall mobile is good but found blue spots on side and upper frame. This is not expected from Amazon. This is my worst order experience with Amazon. Really disappointing!
13,Apple iPhone 12 (128GB) - White,1,"The media could not be loaded.                  I got this iphone 12 defected peace from amazone , so i contact to amazone support but they refuse to replace the item and suggested me to go in apple service centre to repair this issue .So finally i went to the service centre and they helped me and take my phone for 7-8 days for screen replacement, but at the end i got my phone with replaced screen and now its working fine.Note - the product service centre service is good , but sorry i can’t say the same for amazon support ."
14,Apple iPhone 12 (128GB) - White,1,The media could not be loaded.                  Was out of country and have opened this iPhone which I have ordered in Jan yesterday only and have found that it was damaged from screen .How can I get a product replacement as return window has also got closed and have got a defected product .Pls help
15,Apple iPhone 12 (128GB) - White,5,"Its outstanding. I was using iphone 12 mini. Size wise this is better. This is amazing machine. Camera is great, performance is amazing, display is outstanding. Using iPhone 12 is some thing I never experienced before. This is fantastic device.RatingsSpeed - 5/5Display - 5/5Battery - 5/5Weight - 5/5Camera - 4.5/5You need a proper light for great photo. In low light sometime photo is quite dark but original.If you are new to apple eco system then you are going to experience something great. If you have already used apple devices then it will not disappoint you."
16,Apple iPhone 12 (128GB) - White,5,"Now it's almost more than 2 weeks of usage and I'm fully satisfied with the performance. Earlier I was using oneplus 6T and after malfunction of the screen, i decided to move to Iphone. Before buying i had done all the R&D. Many of reviews says that it has bad battery life and couldn't stand a day. But as per my usages my battery stays all day long. I used to make call (6 to 7 hours), video, music, surfing everything except game and battery last upto 24 hours with data mode on.In my opinion its worth buying."
17,Apple iPhone 12 (128GB) - White,5,Battery performance is disgusting. Camera is 4/5. Gaming amazing. Heat up so much. Everytime heating problem comes out. While charging or gaming....heat up so much.
18,Apple iPhone 12 (128GB) - White,5,"This is my first iPhone purchase , coming from oneplus 7 I don't have any regrets about the switch. Yes the switch was painful (especially because I lost all my whatsapp chats) but is worth it. comparing to oneplus 7, this phone has all features from it but in better form. My OP7 was smooth, fast had good battery camera,battery and  haptics. iPhone is just way smoother,fast and have great camera,battery and haptics. There is a slight learning curve. took 2 days to get used to gestures and navigations but is smooth sailing. the only negative feedback would be no charger in the box. You will have to get from apple.com if you want fast 20W one."
19,Apple iPhone 12 (128GB) - White,5,"Upgraded from an iPhone 7 32 gigs to iPhone 12 . After holding out for a long time the upgrade was worth it. All the feature set display, camera, speakers, signal reception, chipset is a huge upgrade. Recommended if you happen to have a device from 2016 or older. This device will be the new standard iPhone for the next 4 years. So worth it if you get it now."
20,Apple iPhone 12 (128GB) - White,1,The media could not be loaded.                  If you are planning to buy an iphone then please buy from stores only.I got a defective product and when I complain about it to amazon customer care and requested for replacement they simply deny to replace it.Don't waste your money.
21,Apple iPhone 12 (128GB) - White,5,"Since launch I am using iphone, previously I buy from show room, but now I living at a place there is no iPhone showroom available, so now  I buy it online from amazon, always there is risk of buying such costly thing online, but always amazon delivered original apple product to me,Now it’s near about 1 yrs from purchase of iPhone 12, there is no issue till date"
22,Apple iPhone 12 (128GB) - White,4,Worst for money
23,Apple iPhone 12 (128GB) - White,5,It’s a nice one under 50k (after discounts and exchange) as usual superb camera quality as its IOS and so do build quality. You need to activate esim from adhar based state and then can use it as secondary sim.
24,Apple iPhone 12 (128GB) - White,4,"The Best iphone i have used ,Camera is a beast, speakers are superb, display is unbelievable, and battery has never been better!But the touch response has been poor i am unable to type like i used to do on my iphone 7 or 8."
25,Apple iPhone 12 (128GB) - White,2,Minor dents on corners and scratches on main screen spending 80k to get this sucks. Dont recommend to buy especially from this seller.
26,Apple iPhone 12 (128GB) - White,1,"The product was getting overheated too soon while using apple apps like iMovie.Also got heated while chargingIf I have to buy an 80k phone and just make calls and messages... doesn't make sense..And Amazon would not replace it just like that they need a letter from Apple stating ""Service Denial"" so shuttling between Amazon and Apple after 2 days of purchase."
27,Apple iPhone 12 (128GB) - White,1,if u r selfi lover  i dont reccomend this
28,Apple iPhone 12 (128GB) - White,5,"Delivery boy ki aankhon mein viswas dikh jaata hai ki product real hai lelo bina khole ,so no open box delivery need…..phone is brilliant everything is fine…. Camera is blast….. shifting from iPhone first time but not facing any issue."
29,Apple iPhone 12 (128GB) - White,4,"I used to use an Android phone till 2014 and wanted to switch to iOS, so the same year I bought iPhone 6, It was good to have an iOS device and the performance and the cameras but those were sufficient only until next year when 6s launched. Though I was a fan of the iPhone 5 and 5s box design but couldn't buy them somehow. I wasn't and I'm not crazy about changing or upgrading phone every year so in 2015 I bought again iPhone 6s by having a thought that this phone has everything which I needed ever, except for box design. Now I was satisfied enough with this.As time goes on and years passed away many iPhone models came but I wasn't eager to buy any of them but when this year series 12 launched, that made me excited to buy because firstly I was technologically behind and secondly the nostalgic box design.Years ago, when I switched to iOS, I'm quite satisfied with it, I never thought and want to go back to Android.When it comes to iPhone 12, it's a great and beautiful device. Smooth performance, good battery life, overpriced of course but people always have the choice to buy it or not. Though face ID is new to me and initially little inconvenient compared to touch ID, hopefully, I'm gonna used to of it.I bought a 128 GB device as per my requirement and colour white because finger prints on back are not visible, compared to other darker colours.INR 3000₹ Discount on the colour white, plus 6000₹ HDFC instant discount. Effective price 76000₹. Unfortunately Charging Brick isn't included and it coasted 1900₹ more for 20W USB-C from Apple India website.Overall it's a great device and satisfied purchase but overpriced for sure."
30,Apple iPhone 12 (128GB) - White,2,"For some reason the phone is going blank suddenly, while using WhatsApp and other apps"
31,Apple iPhone 12 (128GB) - White,1,It’s used phone delivered to me
32,Apple iPhone 12 (128GB) - White,1,"In description it has iPhone 12 with 6.1 inch display, but actually received is iPhone 12 mini, it's total fraud with customers"
33,Apple iPhone 12 (128GB) - White,5,"While the iPhone 11 is an amazing device, without doubt, yet it has an IPS display. Older iPhone X and iPhone XS had OLED displays. Apple returned to OLED again with iPhone 12, although the refresh rate is at 60Hz. For those, who have not used devices with 90Hz or 120Hz, you would not notice any differences. Moving from an older iPhone with IPS display to iPhone 12, and you would immediately notice the crisp blacks. Battery size physically is less than the iPhone 11, yet Apple tweaks the A14 Bionic coupled with the iOS, which easily stretches the charge for 10-12hrs. on regular usage. Those heavily into web browsing, gaming etc. may not have such a long run with a single charge, yet it is capable enough for a pretty long day, without the need to plug in to the outlet. Oh, and yes, iPhone 12 comes with a USB-C to Lightning cable, but no charger. You will need to get a USB-C charger separately, either from Apple or other brands. Else, you can use your Qi charger, if you have one already.iPhone 12 also has a more boxy look, a throwback to the iconic iPhone 4 days. Overall, as with any Apple phone, it is an amazing device, if you use your smartphone for all the regular usage like apps, gaming, web browsing. And yes, it can send messages. Oh, forgot, it can make and receive calls too, quite well!"
34,Apple iPhone 12 (128GB) - White,4,"Pros- decent camera, display is amazing, phone is compact and handy.Cons- battery is not upto the mark, phone heats up when multitasking"
35,Apple iPhone 12 (128GB) - White,5,In this amazon great indian festival ever price love it
36,Apple iPhone 12 (128GB) - White,5,"I was initially very much afraid to buy apple phone because I never liked ios or apple ecosystem, but when I used this it was just awesome!You cannot compete the smoothness with any other device.My thoughts/ rating:-Camera : Good but selfie cam is not upto the markUI : user friendly and easy once you get to know itPerformance : UnbeatableAudio : Best… its like surround sound system!Fit and finish : The best!If you agree with my views please hit the Like button below ! Thanks!"
37,Apple iPhone 12 (128GB) - White,5,Bought this phone after along comparison with S21 plus.why i bought Iphone 12 -1. 6'1 inch screen is good compare to foot long 6.7 flagship now days.2. display quality is superb.3. got on a discounted rate.4. working on Apple eco system as i already have i pad mini for gaming and multi media purpose.5. look classy.6. light weight.7. Impressive screen on time.battery life is impressive didnt expect it to last this long . easy work for 2 days.although its bit expensive console yourself for getting good re sale value compare to android when it get old.
38,Apple iPhone 12 (128GB) - White,4,Amazing display.Battery life is good till now.Camera is good but not so great.Supports one physical sim and one e-sim.Performance and frame rate is very smooth.Very satisfied as of now.
39,Apple iPhone 12 (128GB) - White,2,Has only single sim slot
40,Apple iPhone 12 (128GB) - White,5,Well i dont have to say much because my phone is working perfect so i would just say go for it if you really think you can buy this phone. Dont worry its worth having it. Its been almost 1 month and i havent face any issue even battery backup is fine for me.
41,Apple iPhone 12 (128GB) - White,3,My phone power key not working after 20 days use ..now m helpless where m going for bacause amazon gives 10 day replacement only and iphone store so far from I’m lived
42,Apple iPhone 12 (128GB) - White,1,Do not buy this product from Amazon.if any issue occurs within 7 days Amazon do not replace this item as per written agreement in product description they ask you to connect to apple customer care and apple ask you to visit service centre.
43,Apple iPhone 12 (128GB) - White,5,The media could not be loaded.
44,Apple iPhone 12 (128GB) - White,5,Great phone. The battery improves after a few cycles
45,Apple iPhone 12 (128GB) - White,1,I received used iphone 12. Cover was open and screen guard affixed on it.
46,Apple iPhone 12 (128GB) - White,1,Please don't buy iphone from here .... It's not worthy...... I purchased an iPhone 12 and it gets heat so fast and battery is also not good...... They are selling fraud items
47,Apple iPhone 12 (128GB) - White,1,iOS updates sucks
48,Apple iPhone 12 (128GB) - White,3,"I used both google and now iphone but google has a better echo system and importantly google has much better AI than the iPhone, of course iPhone has the best built."
49,Apple iPhone 12 (128GB) - White,3,"Battery is good, value for money is lite expensive and finally iphone E sim network is till not working properly,"
50,Apple iPhone 12 (128GB) - White,5,Iphone 12 is amazing. It’s so fast. It has 5G network  which is so fast. Design is soo good. Excellent pixels. Camera is good. Must go for it
51,Apple iPhone 12 (128GB) - White,5,best phone of 2020 for sure.combine it with the apple 20 w adapter and it will give 0 to 100 in less than 50 mins
52,Apple iPhone 12 (128GB) - White,4,-
53,Apple iPhone 12 (128GB) - White,4,-
54,Apple iPhone 12 (128GB) - White,4,Almost Good
55,Apple iPhone 12 (128GB) - White,5,ফাটা ফাটি ফোন।
56,Apple iPhone 12 (128GB) - White,4,The media could not be loaded.
57,Apple iPhone 12 (128GB) - White,5,iPhone 12 128gb more than enough for long term aspect great display speaker etc and yes not for gaming battery point of view but overall beast phone look 10/10 saved few bucks to buy AirPods Pro instead of iPhone 13
58,Apple iPhone 12 (128GB) - White,3,IPhone is a brainwashed crazy item. Android is advanced in features and user friendliness. My experience after using from weeks.
59,Apple iPhone 12 (128GB) - White,5,Amazing phone must buy
60,Apple iPhone 12 (128GB) - White,4,"this is my first IOS device, even though it is a 60hz display it is very smooth its feel like a 90hz, camera is decent portrait mode is not good as expected, gaming performance is very good and no lags and framedrops, but the only issue i faced is battery life, even you are a normal user you will get screen time of 5 hr 30 min, but im a heavy user i need to charge it twice in a day, stereo speakers are also nice. my overall rating is 3.5/5"
61,Apple iPhone 12 (128GB) - White,5,iphone 12 ek behtaeen smart phone hai mai ek bgmi player hu to lagatar ye 3 hours  ka battery backup  deti hai or toda heat jada hota hai but utni he jaldi cooldown bhi hota hai or camera to phle ke  ios 13 se batter  hai low light camera  aacha kaam karta hai or 5g bhi hai sath he sath aap ko etna pyara display  dekhne ko milta hai amazon prime kya mast chalta hai essme sound quality  awesome  hai
62,Apple iPhone 12 (128GB) - White,5,Superb qulity camra
63,Apple iPhone 12 (128GB) - White,5,One should use it . It is a good phone with all features taken care of
64,Apple iPhone 12 (128GB) - White,5,I do not think that iPhone requires any review. This is awesome product which always gets 5 stars
65,Apple iPhone 12 (128GB) - White,5,Light weight handy smoothness fully swaad phone
66,Apple iPhone 12 (128GB) - White,4,Very good. Easy user interface. Good screen. Screen notch design is outdated. No finger scanner for unlocking. Battery life needs improvement. Only 60 hz screen refresh rate. No charger inside box. Carrier Aggregation 4g+ not visible.Price is on higher side. Bluetooth transfer is major issue.
67,Apple iPhone 12 (128GB) - White,5,"Thanks to Amazon n the seller for early delivery. I have used this phone from the last 10 days n it’s absolutely stunning, beautiful n the beast..Camera is awesome n the night mode is fabulous. I have upgraded from iPhone 6s. No other phone in the current market can outdo it. Though it’s expensive but you won’t regret to buy if u can afford.I have seen a lot of other negative comments n they r android users. I will be using this ph for another 5 to 6 years."
68,Apple iPhone 12 (128GB) - White,5,I have got the iPhone 12 for price 75900 the 128GB variantPros: Battery life is great and Lasts for a 1.5 daysPhone is super Fast with awesome features are Good and Phone doesn't Lag.Cons: Camera Software need to improve through Software upgrades from IOS.Finger print Sensor not available.Finally Worth Buying and using it. Wait for the price drop and buy it.
69,Apple iPhone 12 (128GB) - White,4,The media could not be loaded.                  Nice phone 📱 and best camera quality 🤩Best phone battery life best 🤩 🔥 🔥 🔥 🔥 🔥 🔥
70,Apple iPhone 12 (128GB) - White,5,The media could not be loaded.
71,Apple iPhone 12 (128GB) - White,5,The phone is overall good most people say this phones battery mah is so low and it will not last that long but it is not true my use age would be around 9 hrs approx with the phone but then too it lasts with a single charge the performance is also good and it’s overall go u can go for it
72,Apple iPhone 12 (128GB) - White,5,"Its bit expensive but Its worth buying.Directly moved from 15k android to this and I cannot complain. Experience is awesome and product is superb.Sound, Battery, display are all good. I have some issue with Camera..It shows too many details while taking selfie :)"
73,Apple iPhone 12 (128GB) - White,5,Good phone
74,Apple iPhone 12 (128GB) - White,4,"Do I need to tell anything else? World knows it. If it fits your budget, then there is nothing which is better."
75,Apple iPhone 12 (128GB) - White,5,Apple is Mango of phones
76,Apple iPhone 12 (128GB) - White,5,Love this phone.
77,Apple iPhone 12 (128GB) - White,4,Ummed se thoda kam hai
78,Apple iPhone 12 (128GB) - White,5,The media could not be loaded.                  One of best iPhones tills date ... First i phone of my life
79,Apple iPhone 12 (128GB) - White,5,I like it
80,Apple iPhone 12 (128GB) - White,5,Best Pick
81,Apple iPhone 12 (128GB) - White,5,"What a masterpiece this phone is! Coming from a flagship Android phone, this looked like a big leap. It’s totally next level. What a display, what an operating system, what a processor, what a camera! This is not only a phone but master of all. Wow. It’s an engineering marvel from Apple Inc."
82,Apple iPhone 12 (128GB) - White,5,-
83,Apple iPhone 12 (128GB) - White,1,face issue new box open yesterday please replaced my phone
84,Apple iPhone 12 (128GB) - White,1,"Battery very poor, don't purchase"
85,Apple iPhone 12 (128GB) - White,5,"You can get good phones for cheaper. You can also get phones with certain features that you don’t get here. But if you are looking for the most well rounded phone that ticks all the right boxes with sheer simplicity, this is for you."
86,Apple iPhone 12 (128GB) - White,5,The media could not be loaded.
87,Apple iPhone 12 (128GB) - White,5,"Good phone, but I still like Android."
88,Apple iPhone 12 (128GB) - White,5,"Battery life is good, lasts for 8-10 hours once fully chargedScreen quality is really great"
89,Apple iPhone 12 (128GB) - White,5,I like this phone this is my first iPhone and I am really happy about that this is my best choice that I can say
90,Apple iPhone 12 (128GB) - White,5,Great device. Amazing Cameras. Battery is good for a day. I don’t play games so I’m not sure about it.
91,Apple iPhone 12 (128GB) - White,5,Best smartphone ever in my life
92,Apple iPhone 12 (128GB) - White,5,"Impeccable phone from apple, upgraded from iPhone 7. Battery could have been a little longer though"
93,Apple iPhone 12 (128GB) - White,5,"Product is genuine, appario is best retailer.prime delvry ,received before due date.all packing etc is well."
94,Apple iPhone 12 (128GB) - White,5,Price is bit high
95,Apple iPhone 12 (128GB) - White,5,Just awesome !!
96,Apple iPhone 12 (128GB) - White,1,"Its a used iPhone, inside the sealed package dust there in the corners of the screen.Have few scratches in the corners.Not satisfied with seller or the service."
97,Apple iPhone 12 (128GB) - White,5,Simply Amazing 😍
98,Apple iPhone 12 (128GB) - White,5,Very attractive and slim mobile phone awesome camera and colour too can used it as long as you can Apple is the best
99,Apple iPhone 12 (128GB) - White,1,Heating issue. Lot is heat is getting discharged
